episodes 497 finish, rewards: -859
episodes 498 finish, rewards: -818
episodes 499 finish, rewards: -744
episodes 0 finish, rewards: 195
episodes 1 finish, rewards: 0
episodes 2 finish, rewards: 10
episodes 50 round 1 finish, rewards: -143.3 steps: 166
episodes 50 round 2 finish, rewards: -145.3 steps: 147
episodes 50 round 3 finish, rewards: -145.89999999999998 steps: 168
episodes 51 round 1 finish, rewards: -118.9 steps: 150
episodes 51 round 2 finish, rewards: -186.6 steps: 191
episodes 51 round 3 finish, rewards: 285.5 steps: 140
episodes 52 round 1 finish, rewards: -93.9 steps: 98
episodes 52 round 2 finish, rewards: -64.39999999999999 steps: 65
episodes 52 round 3 finish, rewards: 41.099999999999994 steps: 68
episodes 53 round 1 finish, rewards: -43.0 steps: 83
episodes 53 round 2 finish, rewards: 66.4 steps: 95
episodes 53 round 3 finish, rewards: -34.599999999999994 steps: 125
episodes 54 round 1 finish, rewards: 105.5000000000001 steps: 124
episodes 54 round 2 finish, rewards: 55.50000000000003 steps: 89
episodes 54 round 3 finish, rewards: 147.60000000000002 steps: 152
episodes 55 round 1 finish, rewards: -124.6 steps: 144
episodes 55 round 2 finish, rewards: -32.0 steps: 114
episodes 55 round 3 finish, rewards: -101.19999999999996 steps: 120
episodes 56 round 1 finish, rewards: -49.50000000000001 steps: 76
episodes 56 round 2 finish, rewards: -75.89999999999995 steps: 138
episodes 56 round 3 finish, rewards: 216.7 steps: 73
episodes 57 round 1 finish, rewards: -61.4 steps: 65
episodes 57 round 2 finish, rewards: -85.1 steps: 108
episodes 57 round 3 finish, rewards: -8.9 steps: 117
episodes 58 round 1 finish, rewards: -6.3 steps: 89
episodes 58 round 2 finish, rewards: -52.2 steps: 87
episodes 58 round 3 finish, rewards: 44.6 steps: 108
episodes 59 round 1 finish, rewards: 20.3 steps: 104
episodes 59 round 2 finish, rewards: -71.00000000000006 steps: 103
episodes 59 round 3 finish, rewards: -61.89999999999999 steps: 105
episodes 60 round 1 finish, rewards: 21.2 steps: 85
episodes 60 round 2 finish, rewards: 16.1 steps: 130
episodes 60 round 3 finish, rewards: 27.699999999999996 steps: 104
episodes 61 round 1 finish, rewards: 30.79999999999999 steps: 126
episodes 61 round 2 finish, rewards: 94.39999999999998 steps: 124
episodes 61 round 3 finish, rewards: -44.20000000000002 steps: 110
episodes 62 round 1 finish, rewards: -38.10000000000004 steps: 94
episodes 62 round 2 finish, rewards: 141.8 steps: 77
episodes 62 round 3 finish, rewards: -16.599999999999977 steps: 107
episodes 63 round 1 finish, rewards: -66.9 steps: 82
episodes 63 round 2 finish, rewards: -56.099999999999994 steps: 83
episodes 63 round 3 finish, rewards: -42.10000000000001 steps: 114
episodes 64 round 1 finish, rewards: 98.50000000000003 steps: 116
episodes 64 round 2 finish, rewards: -93.49999999999999 steps: 92
episodes 64 round 3 finish, rewards: 356.09999999999997 steps: 71
episodes 65 round 1 finish, rewards: -53.60000000000001 steps: 70
episodes 65 round 2 finish, rewards: -71.1 steps: 76
episodes 65 round 3 finish, rewards: -82.8 steps: 94
episodes 66 round 1 finish, rewards: -70.09999999999994 steps: 93
episodes 66 round 2 finish, rewards: 284.3 steps: 71
