episodes 0 finish, rewards: 10
episodes 1 finish, rewards: 487
episodes 2 finish, rewards: 119
episodes 3 finish, rewards: 247
episodes 4 finish, rewards: 10
episodes 5 finish, rewards: 293
episodes 6 finish, rewards: 460
episodes 7 finish, rewards: 494
episodes 8 finish, rewards: 144
episodes 9 finish, rewards: 510
episodes 10 finish, rewards: 57
episodes 11 finish, rewards: 758
episodes 12 finish, rewards: 339
episodes 13 finish, rewards: 426
episodes 14 finish, rewards: 121
episodes 15 finish, rewards: 192
episodes 16 finish, rewards: 118
episodes 17 finish, rewards: 473
episodes 18 finish, rewards: 259
episodes 19 finish, rewards: 149
episodes 20 finish, rewards: 637
episodes 21 finish, rewards: 478
episodes 22 finish, rewards: 551
episodes 23 finish, rewards: 93
episodes 24 finish, rewards: 463
episodes 25 finish, rewards: 56
episodes 26 finish, rewards: 493
episodes 27 finish, rewards: 417
episodes 28 finish, rewards: 372
episodes 29 finish, rewards: 460
episodes 30 finish, rewards: 64
episodes 31 finish, rewards: 298
episodes 32 finish, rewards: 237
episodes 33 finish, rewards: 855
episodes 34 finish, rewards: 748
episodes 35 finish, rewards: 269
episodes 36 finish, rewards: 308
episodes 37 finish, rewards: 254
episodes 38 finish, rewards: 271
episodes 39 finish, rewards: 493
episodes 39 finish, rewards: 230
episodes 40 finish, rewards: 187
episodes 41 finish, rewards: 418
episodes 42 finish, rewards: 295
episodes 43 finish, rewards: 491
episodes 44 finish, rewards: 240
episodes 45 finish, rewards: 377
episodes 46 finish, rewards: 233
episodes 47 finish, rewards: 393
episodes 48 finish, rewards: 620
episodes 49 finish, rewards: 188
episodes 50 finish, rewards: 354
episodes 51 finish, rewards: 463
episodes 52 finish, rewards: 547
episodes 53 finish, rewards: 329
episodes 54 finish, rewards: 357
episodes 55 finish, rewards: 323
episodes 56 finish, rewards: 190
episodes 57 finish, rewards: 207
episodes 58 finish, rewards: 235
episodes 59 finish, rewards: 410
episodes 60 finish, rewards: 101
episodes 61 finish, rewards: 151
episodes 61 finish, rewards: 173
episodes 62 finish, rewards: 341
episodes 63 finish, rewards: 174
episodes 64 finish, rewards: 529
episodes 65 finish, rewards: 266
episodes 66 finish, rewards: 669
episodes 67 finish, rewards: 379
episodes 68 finish, rewards: 424
episodes 69 finish, rewards: 517
episodes 70 finish, rewards: 407
episodes 71 finish, rewards: 813
episodes 72 finish, rewards: 465
episodes 73 finish, rewards: 439
episodes 74 finish, rewards: 421
episodes 75 finish, rewards: 47
episodes 76 finish, rewards: 257
episodes 77 finish, rewards: 201
episodes 78 finish, rewards: 372
episodes 79 finish, rewards: 229
episodes 80 finish, rewards: 366
episodes 81 finish, rewards: 764
episodes 82 finish, rewards: 483
episodes 83 finish, rewards: 311
episodes 84 finish, rewards: 134
episodes 85 finish, rewards: 239
episodes 86 finish, rewards: 355
episodes 87 finish, rewards: 784
episodes 88 finish, rewards: 261
episodes 89 finish, rewards: 189
episodes 90 finish, rewards: 474
episodes 91 finish, rewards: 705
episodes 92 finish, rewards: 429
episodes 93 finish, rewards: 439
episodes 94 finish, rewards: 470
episodes 95 finish, rewards: 470
episodes 96 finish, rewards: 331
episodes 97 finish, rewards: 254
episodes 98 finish, rewards: 607
episodes 99 finish, rewards: 45
episodes 100 finish, rewards: 173
episodes 101 finish, rewards: 278
episodes 102 finish, rewards: 266
episodes 103 finish, rewards: 531
episodes 104 finish, rewards: 119
episodes 105 finish, rewards: 549
episodes 106 finish, rewards: 522
episodes 107 finish, rewards: 318
episodes 108 finish, rewards: 128
episodes 109 finish, rewards: 230
episodes 110 finish, rewards: 416
episodes 111 finish, rewards: 361
episodes 112 finish, rewards: 695
episodes 113 finish, rewards: 191
episodes 114 finish, rewards: 408
episodes 115 finish, rewards: 146
episodes 116 finish, rewards: 348
episodes 117 finish, rewards: 231
episodes 118 finish, rewards: 384
episodes 119 finish, rewards: 481
episodes 120 finish, rewards: 561
episodes 121 finish, rewards: 67
episodes 122 finish, rewards: 541
episodes 123 finish, rewards: 0
episodes 124 finish, rewards: 405
episodes 125 finish, rewards: 136
episodes 126 finish, rewards: 93
episodes 127 finish, rewards: 456
episodes 128 finish, rewards: 479
episodes 129 finish, rewards: 75
episodes 130 finish, rewards: 161
episodes 131 finish, rewards: 245
episodes 132 finish, rewards: 738
episodes 133 finish, rewards: 466
episodes 134 finish, rewards: 101
